model_id,source_group,crate_name,posterior_db_revision,stan_sha256,kernel_lib_rs_sha256,model_license,data_license,data_json_canonical_sha256
bball_drive_event_1-hmm_drive_1,followup_new,nutpier_density_kernel_template,5545a1dd07ae297c36edecbcd82aa49097b4c385,295e47fe6cf70adb9c16af0697fb6f3803aad993c3ee800a34e9b437883abb75,a366c03f35e3d4e913d305b3d732105be7f24e0c72133bb8ab4dd63a77ee2a36,BSD3,not specified in PosteriorDB data metadata,59bad983fdaad343ce6e6a0acd7c877bfb2a6966c59351d16ce160c47b9db98e
bones_data-bones_model,firstpass_original,bones_data_bones_model_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,0d478060e879cf4c26f5a5d8eafb2de3e166a1d9e581999c26c00d3a002cf2c4,bd2db2471c26992311bb992f165aa6cab5e6c71bdce03f880a25db49af7f6bdf,BSD3,not specified in PosteriorDB data metadata,734832e1c7a5ddd316fee12ce5411ccd739a4efc33d761fd84b4a779713faef3
butterfly-multi_occupancy,followup_new,butterfly_multi_occupancy_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,2da8b97338d43107b8c9d97500ca3b9f526891ad6ace2eb11715c06c2c45b052,7be7265f15758d5c12be4f10e01db4db0b78f998dd531f750c2490b3c2cd5099,BSD3,not specified in PosteriorDB data metadata,0cefcd9cc6c8525e1187c78503a6aec9bfebe4f093c3746d60a0a44e2a17e55c
diamonds-diamonds,followup_new,nutpier_density_kernel_diamonds,5545a1dd07ae297c36edecbcd82aa49097b4c385,b499b08e74598f65a5db338ea31cb9db868d1d56a6f580ddf28280dbe7425657,91f40720f1ba21359cf7f69f83be71163e18964386b82b58e6a24df9e3eee5a2,BSD3,not specified in PosteriorDB data metadata,58b93ae5d39fda24723f3d4c78751d7232c5e83abd4c078f39154b9df824f3ba
dogs-dogs,firstpass_original,dogs_dogs_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,bc4c096706d2bb0558cdd88f171ccafda252d7a62b3cd7d1210642c3508b613a,fff0aeb5860f99ce8ad139dba5786c457a10cab76782af613d28cf1c30e02d7b,BSD3,not specified in PosteriorDB data metadata,13ebb62bda64fdaff04da07202b032753f0737f0e50c4fa28275c2d216849e1a
dogs-dogs_hierarchical,firstpass_original,dogs_dogs_hierarchical_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,779b2a41c4a7affab0704780336aa92def39e1c91b655c845eaa8dd4bc873d80,0f604ac6ea6ac9df1bde6c217d6ea2df504921205338f52958749d80e75e5000,BSD3,not specified in PosteriorDB data metadata,13ebb62bda64fdaff04da07202b032753f0737f0e50c4fa28275c2d216849e1a
dogs-dogs_nonhierarchical,phase02,dogs_dogs_nonhierarchical_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,69dc8063e69d0451f54c5223edbb34e316742f5001a630f251bbab2be074109d,fa3f42057398664cc4b510f05e5361d136276e524a752ccfc43f78fbaa31d8f4,BSD3,not specified in PosteriorDB data metadata,13ebb62bda64fdaff04da07202b032753f0737f0e50c4fa28275c2d216849e1a
dugongs_data-dugongs_model,firstpass_original,dugongs_data_dugongs_model_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,abdf86f018dc0b6e9213222648f3fafc14eae13629769e40cca7490877b05e6b,d5afd21b7edb8fd91691f9141235728bd98e1ab0a7dcbea4ea11ce95f07be4ad,BSD3,not specified in PosteriorDB data metadata,43228878b37b97b4374eba130d1b10a6b0ffdd147722a7dd97be0491d7bcecd8
earnings-earn_height,firstpass_original,earnings_earn_height_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,cabef66313b5b1568716951892387134a46d92865a84710445970cc69bda163a,38a7321e2ddb0ba8d17ed0edc887fb29fc77786c9015336da5914042dbcd33f0,BSD3,not specified in PosteriorDB data metadata,e232213c3cd159f87cc624f432cfb7d87e5917e4814765f72bf17343f8885bb8
earnings-log10earn_height,firstpass_original,earnings_log10earn_height_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,69df8e51be53f4e4ac8a2756927a3b7dc2ca61cbaf4c6a65d790298287a049c2,772a78b07f9dd2296db4bcf2b918ee36313d74da2f387a02d7e77589aa07bc33,BSD3,not specified in PosteriorDB data metadata,e232213c3cd159f87cc624f432cfb7d87e5917e4814765f72bf17343f8885bb8
earnings-logearn_height,firstpass_original,earnings_logearn_height_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,2eca5eaba6ba31d6964eec624e819d84f7ba0a06a0289920b2276d933a31d64e,450e2911a21a05838374cc286468a4fe429b1a2a0a9554e2098460a909c105d8,BSD3,not specified in PosteriorDB data metadata,e232213c3cd159f87cc624f432cfb7d87e5917e4814765f72bf17343f8885bb8
earnings-logearn_height_male,firstpass_original,nutpier_density_kernel_template,5545a1dd07ae297c36edecbcd82aa49097b4c385,ec123759efa70e17517de7512ab5e33f23bfd6c03b2d94515df6aec8ea490c47,b598fd643675a7ecc8503e6b33ff3fb7e4fa9a5c4a43c828bd6c44b54adbedd8,BSD3,not specified in PosteriorDB data metadata,e232213c3cd159f87cc624f432cfb7d87e5917e4814765f72bf17343f8885bb8
earnings-logearn_interaction,firstpass_original,earnings_logearn_interaction_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,44c458ff3828043954961741018ee98c56bc14716d6e93dc046c31499e40c7fb,d1fb31fa26b03112816cb6fbe1ec38029770e80ffd42c65a0cb254f96cffcbba,BSD3,not specified in PosteriorDB data metadata,e232213c3cd159f87cc624f432cfb7d87e5917e4814765f72bf17343f8885bb8
earnings-logearn_interaction_z,firstpass_original,earnings_logearn_interaction_z_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,37e04ae7ae7e92d3d4fffc6720298a56d0a13d87f376ae34b19d3ba731551749,999debead1e6b7f1a07501367fa4fc65ae616aa5e9390cbccaaec3ed49352ac8,BSD3,not specified in PosteriorDB data metadata,e232213c3cd159f87cc624f432cfb7d87e5917e4814765f72bf17343f8885bb8
earnings-logearn_logheight_male,firstpass_original,earnings_logearn_logheight_male_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,8855b00850ebc51d2ce10d58f0b8d212153e21f0b7c8bd5601e367282c798255,487819f5aabbd6b1598e340c151a8d5396a8e02b1631d6b900124b74dec39073,BSD3,not specified in PosteriorDB data metadata,e232213c3cd159f87cc624f432cfb7d87e5917e4814765f72bf17343f8885bb8
eight_schools-eight_schools_noncentered,firstpass_original,eight-schools-eight-schools-noncentered-density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,b28d5326b1936cce0014c98c2591d1ba5c1d21987ea5a5d0d9c074c6d6ce9253,96039a98c47eeecd27fbbd1ff1cf531cf4a627b72e8ae357880084a632df3cf3,BSD3,not specified in PosteriorDB data metadata,1e499935e248ad07890e12fae3fd68ab6095148d6860c82f28f99d12225f79af
fims_Aus_Jpn_irt-2pl_latent_reg_irt,followup_new,nutpier_density_kernel_template,5545a1dd07ae297c36edecbcd82aa49097b4c385,96c8f931ea6ff2569863cf1afa8b255aefe441516ab06705519b16ef1dc461b8,0c45ef6e5a3e5ebed1816e03a87ff5f093fde0283becc0e2e971d133ce920f35,BSD3,not specified in PosteriorDB data metadata,9591c4cc536e662ad7f42fad0d297687cee424ea4013339592048eff798ce5af
garch-garch11,firstpass_original,garch_garch11_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,bbfe1929a9dbf6f5a4066f6099d90fc8c3e1bf1c65e1072b47af19534c60a679,41a45636253c4a3386230b8e7645d82670eade7bad164119c35d9acab9e2aff7,BSD3,not specified in PosteriorDB data metadata,95e103db00c486929fb6e81ef49720b943dce276720532d1f31d99e4c17846e8
gp_pois_regr-gp_regr,firstpass_original,gp_pois_regr_gp_regr_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,bfbba64339a06d6ca5e0619aa0e3bffee2865504ee00768dd999066182db9873,2e69109b355b6417b6632acd15405d08a7bcc88802bb438df3d397499c5c8c7f,BSD3,not specified in PosteriorDB data metadata,2f62e69f65c8791b960e654d3fb0b16fbae831063f9a88e448de09b84f3d2c71
hmm_example-hmm_example,firstpass_original,nutpier_density_kernel_template,5545a1dd07ae297c36edecbcd82aa49097b4c385,8ebe19f3469e97153177d69c9dea248207278cc6f3d1d16885f83a791b11c476,5ac8ad741b3e9633cd0b0144c2f3fe10f664512097490b119c4430299edf69d4,BSD3,not specified in PosteriorDB data metadata,d9a017e42014961b63d2443e3361365c4a553ebf7036768f25f05e9e21e8ab08
irt_2pl-irt_2pl,firstpass_original,nutpier_density_kernel_template,5545a1dd07ae297c36edecbcd82aa49097b4c385,27947f5afa47a63c8587213c7d5598e701aa11209dff0b117d635578d028c922,cc29ecdaefb5af02e22faf3769d2354cd836c6387137591eb651d977e709a7f3,BSD3,not specified in PosteriorDB data metadata,bdf4d6b916c6d8a2d80531b3a59bce1e93061ad7e327333a68a62e8e4fe32261
kidiq-kidscore_interaction,firstpass_original,kidiq_kidscore_interaction_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,da69847f12b07ca3e1e77a7e9aa349497dbbe2f0251b94b46c24c51b5309ad91,77dce1434c2a88dac9607f31a58a6539097014d78359702a0c3629e4b8e9be80,BSD3,not specified in PosteriorDB data metadata,2144983540912848c5b82cc0adaf1048212db5602000975af8c44909eb9a501c
kidiq-kidscore_momhs,firstpass_original,kidiq_kidscore_momhs_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,555e35e50b5628fb981b5f0dafcf899feee4be0e4fcbbc5255f3d7df4128f15b,5930b6e645ec2a680c4b896f71802ad470db30f8a7a087d7a3db53b122e4155d,BSD3,not specified in PosteriorDB data metadata,2144983540912848c5b82cc0adaf1048212db5602000975af8c44909eb9a501c
kidiq-kidscore_momhsiq,firstpass_original,nutpier_density_kernel_template,5545a1dd07ae297c36edecbcd82aa49097b4c385,de5689ba783aca3612123239b62e8e7da2b5a61785ac001bb4f7a6a601c99467,c209d4776f1bee0ba69593af174467a4a415faec8812b4552461d7ca1e5391e9,BSD3,not specified in PosteriorDB data metadata,2144983540912848c5b82cc0adaf1048212db5602000975af8c44909eb9a501c
kidiq-kidscore_momiq,firstpass_original,kidiq_kidscore_momiq_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,4a09d0baf54d23c5a9f2aebaaf212c4017b839ba5b9f04910ec98cb698593a2f,5a9f4ea7cbec39cbb2eb251819daa8190d05fd0a7005560de6b3462cdd6bca0c,BSD3,not specified in PosteriorDB data metadata,2144983540912848c5b82cc0adaf1048212db5602000975af8c44909eb9a501c
kidiq_with_mom_work-kidscore_interaction_c,firstpass_original,kidiq_with_mom_work_kidscore_interaction_c_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,ab4821a0785f15ebcdea112d6436db3c2433f26aca8d10798f2824f752406727,c6409790f003ff9908cc58305cf39671842ad083da476e6d6e05b5f58adf46b6,BSD3,not specified in PosteriorDB data metadata,3e1a8d0d677b7b7a1b07d77d428eec003821de4405aaafa9a77486afef36e98c
kidiq_with_mom_work-kidscore_interaction_c2,firstpass_original,kidiq_with_mom_work_kidscore_interaction_c2_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,f0e2de7b978b8ee263d3aa5fccdc4170e2f4d0678af5d6b8a0090162d084e9be,c07a4390023294b07b239a0590a76a81120c35315e9069076e2cf1e2ece7e3e9,BSD3,not specified in PosteriorDB data metadata,3e1a8d0d677b7b7a1b07d77d428eec003821de4405aaafa9a77486afef36e98c
kidiq_with_mom_work-kidscore_interaction_z,followup_new,kidiq_with_mom_work_kidscore_interaction_z_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,af2ebd6cd04a66deaf879899b548cb6401c7d250dd6cae7f55c726a8e7f734d6,842b17f9504010e6938ed1f4305136e7181d2e010fdc5a18b36d41ff7404aaac,BSD3,not specified in PosteriorDB data metadata,3e1a8d0d677b7b7a1b07d77d428eec003821de4405aaafa9a77486afef36e98c
kidiq_with_mom_work-kidscore_mom_work,firstpass_original,kidiq_with_mom_work_kidscore_mom_work_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,fe41ba28792cddf91df4f46e5b48c2bcf33c0f1a193148fc36b4a52483640d27,05de49a3cc0eb4b892a003617ec53fe222891680681bf9ab1d414ec09e2fe7c3,BSD3,not specified in PosteriorDB data metadata,3e1a8d0d677b7b7a1b07d77d428eec003821de4405aaafa9a77486afef36e98c
kilpisjarvi_mod-kilpisjarvi,firstpass_original,kilpisjarvi_mod_kilpisjarvi_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,49c1f6d1d7a12595957549ffac0159496c7216037dd07e7ff345e088394aba0a,50bbef1c38b9fa90c16ea3a311fcb98259b2371ee96503b73691c327602b8e1c,BSD3,not specified in PosteriorDB data metadata,ef03bf01242a2f1fcabfa504514ecb6be8934384127bad05a9b7b5fd37367865
loss_curves-losscurve_sislob,phase02,nutpier_density_kernel_template,5545a1dd07ae297c36edecbcd82aa49097b4c385,b7e3d55e53d230a391b87e03fc9eec6007322a79ddec748ac1a4dee1741bc4b4,0d52a86dc022eb3f4da6466e34c50a47ba55bd952df6e8d8f852dd09f40c4099,BSD3,not specified in PosteriorDB data metadata,2fd83db64491f56c911e1213c085d7baf2e1cfe4e8420028cb3080d7f499610a
low_dim_gauss_mix-low_dim_gauss_mix,firstpass_original,low_dim_gauss_mix_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,b94ee44ab73502a0053c4a52b7e9d582ca4f466994d7beef4a4e606ff8582344,7a103ef8ef0c7c0f6fc219ce4242cf9505011ac955578c0ede879f2e41fae3dc,BSD3,not specified in PosteriorDB data metadata,ea6e602faaaa55b6e210f0617e70398bd5599598cf7cf05727021aff2fbff61f
lsat_data-lsat_model,firstpass_original,lsat_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,9f3d0abccfb55fcab634d81a19d74507409b836c549224b923b237ecf9f2c817,b0e7153885b8cc28e32f223147fba1d12414c5653b50accbc016f2c1db277774,BSD3,not specified in PosteriorDB data metadata,e0f11954b7fc55c26322619935b4e96c2dd692ceb1840f5f50a41b069cfd4495
mesquite-logmesquite,firstpass_original,nutpier_density_kernel_mesquite,5545a1dd07ae297c36edecbcd82aa49097b4c385,fdeda33c27e66799a4e3a3da6f74c16c6bbf58ab7bf568bce0d5999d120498d3,49444bf308cc7e6e38efd36d89f6523a62c078fdca5daf421fe43f0a244c8a9a,BSD3,not specified in PosteriorDB data metadata,bdebb2257a0304be4897837199222dcb9cb2375b76e29f8a4ead14f44c201cea
mesquite-logmesquite_logva,firstpass_original,mesquite_logmesquite_logva_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,f21fbceb941f04848fe7a1385e5b5f331e08a259db0fa8655fc724e91f94f7fb,ff402b2dae4ecf6a097d502b715f4b1d5d094fa39c7a008e2ca894ba300227cc,BSD3,not specified in PosteriorDB data metadata,bdebb2257a0304be4897837199222dcb9cb2375b76e29f8a4ead14f44c201cea
mesquite-logmesquite_logvas,firstpass_original,nutpier_density_kernel_template,5545a1dd07ae297c36edecbcd82aa49097b4c385,e0fdd63267a96b0701b09bdddf7b54256ea0850569d380b158d5864f780bd311,4eefd1b76115611b9e9c25b322874cc05cd37f32d4d46e3e8a8b75debe002cfc,BSD3,not specified in PosteriorDB data metadata,bdebb2257a0304be4897837199222dcb9cb2375b76e29f8a4ead14f44c201cea
mesquite-logmesquite_logvash,firstpass_original,mesquite_logmesquite_logvash_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,100f4d97f30927b394c0284e92d62686fa5d16cb0cefc62c7e950fc4b7595296,1aeb7d8c592a8805756e9d8c891fed31a280dfaee50f9ae1c52736b01152830a,BSD3,not specified in PosteriorDB data metadata,bdebb2257a0304be4897837199222dcb9cb2375b76e29f8a4ead14f44c201cea
mesquite-logmesquite_logvolume,firstpass_original,mesquite_logmesquite_logvolume_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,14615192a3579e2b9bdfd474389da63fbd32a0a5e1cd392c897560b8886b8aad,d1c480a3d82f8585d14cb85ea674c0a6e4e93fa731952a5905d254f40972a24e,BSD3,not specified in PosteriorDB data metadata,bdebb2257a0304be4897837199222dcb9cb2375b76e29f8a4ead14f44c201cea
mesquite-mesquite,followup_new,mesquite_mesquite_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,5233a18e3656e4239b9a5e1c4bddc31803d3ce69c2dbb46a80b50c67e5efa036,f33a9dc6d3da3565c15642e38679e107caca05a38bde0add901f03154f6292be,BSD3,not specified in PosteriorDB data metadata,bdebb2257a0304be4897837199222dcb9cb2375b76e29f8a4ead14f44c201cea
nes1972-nes,firstpass_original,nutpier_density_kernel_template,5545a1dd07ae297c36edecbcd82aa49097b4c385,260e7acec9bef905cae306ff6defb97e525c116f018aba9c687af154c10c8e70,d654b3415eae49e3fa2dc60143832fd51e7e06686a259393c245f459c1031d3a,BSD3,not specified in PosteriorDB data metadata,f6d9052aaed52fe70290c9b7d1bba8d3f0665ae25dc6063e9abfae156b41b270
nes1976-nes,firstpass_original,nutpier_density_kernel_template,5545a1dd07ae297c36edecbcd82aa49097b4c385,260e7acec9bef905cae306ff6defb97e525c116f018aba9c687af154c10c8e70,e9962ce657a215eff227cf08e7ca0e1964873c3aa8b5e79be32ea894e0167214,BSD3,not specified in PosteriorDB data metadata,6568b45340f6232327ff964ad2d73ab0724ea41301c0412b38c978f937e401f0
nes1980-nes,firstpass_original,nutpier_density_kernel_template,5545a1dd07ae297c36edecbcd82aa49097b4c385,260e7acec9bef905cae306ff6defb97e525c116f018aba9c687af154c10c8e70,1cc17875684ac4f77f82834e63a317fdc84f25613835fdad2f1e2a1937130a69,BSD3,not specified in PosteriorDB data metadata,c8bc9d5f6cc73354121cefb72a48b7aed10bc3f17a49510bb7d27b5b586afca9
nes1984-nes,firstpass_original,nes1984_nes_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,260e7acec9bef905cae306ff6defb97e525c116f018aba9c687af154c10c8e70,6e580c709d8dcd7eb7ffb865d46b8688b53d5a8c6ff11892987380cdc63525a1,BSD3,not specified in PosteriorDB data metadata,e6c0dd0ed7e961c5d5bf99d27861983830011e020749d4e2045ed7f4f86c9100
nes1988-nes,firstpass_original,nes1988_nes_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,260e7acec9bef905cae306ff6defb97e525c116f018aba9c687af154c10c8e70,d1cb5f76e26cd395d55bc04cbf1da71cdf72795a2abfbc4c783ef09ec8b967b7,BSD3,not specified in PosteriorDB data metadata,172e916abbc6663c6aa54d22e9773f3bbfc3f1781ccb05386e142bca8760f421
nes1992-nes,firstpass_original,nes1992_nes_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,260e7acec9bef905cae306ff6defb97e525c116f018aba9c687af154c10c8e70,0f2061824d5666da8a642172e2fe3e4377bb7fb233d07347a67d5fe38c155761,BSD3,not specified in PosteriorDB data metadata,4b22b16d68938ddd4fc225e3081207d6d98120617673edd51db3214932394311
nes1996-nes,firstpass_original,nutpier_density_kernel_template,5545a1dd07ae297c36edecbcd82aa49097b4c385,260e7acec9bef905cae306ff6defb97e525c116f018aba9c687af154c10c8e70,af0e9c86c9f5c2626d4467b657a0c8b4b93b9409f882952f7a596d5315c9cd7c,BSD3,not specified in PosteriorDB data metadata,26c566ae3d83aab5d766d6c8b235c36611bc55291bc919c822a0a381b84ee4a8
nes2000-nes,firstpass_original,nes2000_nes_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,260e7acec9bef905cae306ff6defb97e525c116f018aba9c687af154c10c8e70,c3d1e0b39a27c50a0cc3823e03de4855de2d102610274cebccfc91fe3a2e971c,BSD3,not specified in PosteriorDB data metadata,7eae8d2565be16cfd424795761608ecb245603e0c0159f397da4e59b3aa6ed8c
